     -133.5864219194      424.7056560217     2       39.1075632145       46.4829165933       48.2875118633
     -133.2938219663      403.4561353683     2       37.0880158486       45.4987682217       53.8406384088
     -133.1835740046      400.3551091551     1       37.4670912077       46.6499032818       50.7500740541
     -133.1046204455      398.4862541718     1       39.1163872145       44.4162676052       49.9636770159
     -133.0609532160      424.7284909938     2       36.6070651236       47.6863646128       51.8581161983
     -133.0158431108      427.8839225781     2       41.6778750252       44.5088775447       47.2000871697
     -133.0046346916      424.1689238871     1       42.4521077326       42.8501548191       48.1130725626
     -132.9984235890      399.5744723600     2       37.0836794135       47.8282054445       49.8182932489
     -132.9194505339      424.2536208543     1       40.1995653645       45.8784053005       47.9856630735
     -132.9017849598      424.1979407075     1       40.2647776318       45.8710477350       47.9346503267
     -132.8632560006      423.4039171176     2       39.0976712603       46.7054895478       48.4168524891
     -132.8295401287      424.2467289332     3       43.2784222018       43.2784222304       47.7239817351
     -132.8222260040      427.9508920022     4       42.5334897616       45.5993179314       46.2236700375
     -132.8139431088      404.0726273083     1       37.5200168573       48.2024291508       50.8542271838
     -132.8017572749      403.3141169597     2       34.9265646378       51.2044561940       51.5595051974
     -132.7879831811      404.5383300872     2       37.7193884843       44.9404965519       53.9819325265
     -132.7655360374      403.6520922776     2       36.8884011351       49.5895217425       50.5377068872
     -132.7585789673      402.3660085279     4       40.8104147031       44.0690371108       48.6765585504
     -132.7411028710      423.5634606601     2       36.7304229267       48.0418515045       51.1958694702
     -132.7213707186      402.0174944159     1       39.1927750827       45.0448366117       50.1063432862
     -132.7078559722      405.3796765626     2       33.8655702530       50.7728622362       57.0353038072
     -132.6872452969      423.8398267266     2       42.5416992473       42.9494552056       48.4613086476
     -132.6749270707      401.9548934966     1       39.3747855983       46.3288432122       48.4109193105
     -132.6588434260      405.6540747703     1       39.1208317160       44.4412551047       50.3361993633
     -132.6522518861      401.6232467658     2       39.9118174403       41.9212125931       53.7820310574
     -132.6395152911      402.4567253065     2       38.6110228284       46.2193232913       49.9323704616
     -132.6344145317      402.6142211168     2       40.4432075667       43.4470632746       49.9174755240
     -132.6189567660      402.3066201827     1       37.5890584374       48.1971761465       49.4626225986
     -132.6155482052      402.6099063225     1       35.8544256097       49.6348503119       51.3091353013
     -132.6105778040      425.9965951356     2       37.0785046582       45.8207438139       54.9758522911
     -132.6062273333      423.1853722318     1       41.0059077847       44.6892677980       48.6691120943
     -132.5937451421      401.9725637984     2       36.9703869941       47.6344942993       50.8466121495
     -132.5921566642      401.2398063008     2       38.7431822147       46.7215295139       49.1745871469
